ID,Recipe ID,Ingredient ID,Weight
1,1,839,100.0
2,1,132,70.0
3,1,642,200.0
4,1,533,40.0
5,1,831,5.0
6,1,527,17.0
7,1,776,5.0
8,1,486,5.0
9,1,656,0.0
10,1,829,0.0
11,1,583,30.0
12,2,739,250.0
13,2,315,60.0
14,2,522,75.0
15,2,763,15.0
16,2,578,20.0
17,2,656,0.0
18,2,642,0.0
19,2,73,0.0
20,3,312,340.0
21,3,315,180.0
22,3,633,50.0
23,3,48,100.0
24,3,399,100.0
25,3,527,34.0
26,3,656,0.0
27,3,829,0.0
28,3,458,0.0
29,3,505,0.0
30,4,630,100.0
31,4,13,125.0
32,4,26,150.0
33,4,852,250.0
34,4,83,100.0
35,4,580,25.0
36,4,132,25.0
37,5,601,200.0
38,5,4,200.0
39,5,738,80.0
40,5,831,5.0
41,5,649,30.0
42,5,527,17.0
43,5,656,0.0
44,5,829,0.0
45,5,505,0.0
46,5,583,0.0
47,6,781,250.0
48,6,212,480.0
49,6,533,80.0
50,6,414,90.0
51,6,315,60.0
52,6,831,5.0
53,6,326,2.0
54,6,656,0.0
55,6,829,0.0
56,6,527,34.0
57,6,92,2000.0
58,6,486,0.0
59,7,503,80.0
60,7,502,100.0
61,7,831,10.0
62,7,836,0.0
63,7,649,8.0
64,7,355,25.0
65,7,315,60.0
66,7,656,0.0
67,7,829,0.0
68,7,486,0.0
69,8,52,300.0
70,8,60,50.0
71,8,313,250.0
72,8,839,224.0
73,8,738,100.0
74,8,640,75.0
75,8,178,10.0
76,8,776,10.0
77,8,633,25.0
78,8,527,17.0
79,8,461,0.0
80,8,829,0.0
81,8,656,0.0
82,8,388,0.0
83,9,262,90.0
84,9,376,90.0
85,9,634,180.0
86,9,486,35.0
87,9,144,0.0
88,9,583,0.0
89,9,376,0.0
90,10,427,400.0
91,10,761,150.0
92,10,633,60.0
93,10,522,62.5
94,10,449,34.0
95,10,399,750.0
96,10,347,50.0
97,10,738,500.0
98,10,831,10.0
99,10,656,0.0
100,10,829,0.0
101,10,578,12.5
102,10,22,0.0
103,11,134,320.0
104,11,92,480.0
105,11,533,80.0
106,11,414,90.0
107,11,839,300.0
108,11,527,34.0
109,11,633,20.0
110,11,656,0.0
111,11,829,0.0
112,11,583,0.0
113,12,692,100.0
114,12,448,60.0
115,12,839,100.0
116,12,533,40.0
117,12,723,100.0
118,12,831,5.0
119,12,626,100.0
120,12,527,34.0
121,12,656,0.0
122,12,829,0.0
123,13,212,1000.0
124,13,527,68.0
125,13,656,0.0
126,13,152,0.0
127,13,720,0.0
128,13,624,0.0
129,13,510,0.0
130,13,355,75.0
131,13,776,10.0
132,13,831,15.0
133,14,309,250.0
134,14,839,100.0
135,14,723,100.0
136,14,831,5.0
137,14,626,150.0
138,14,527,34.0
139,14,656,0.0
140,14,829,0.0
141,15,852,500.0
142,15,305,100.0
143,15,132,100.0
144,15,381,30.0
145,16,765,80.0
146,16,4,100.0
147,16,315,120.0
148,16,745,30.0
149,16,388,40.0
150,16,449,17.0
151,16,656,0.0
152,17,309,200.0
153,17,256,200.0
154,17,249,200.0
155,17,723,100.0
156,17,839,200.0
157,17,533,80.0
158,17,831,5.0
159,17,527,17.0
160,17,656,5.0
161,17,355,25.0
162,17,486,0.0
163,18,212,1000.0
164,18,527,100.0
165,18,315,60.0
166,18,522,50.0
167,18,656,5.0
168,18,829,0.0
169,18,640,100.0
170,18,486,10.0
171,18,776,10.0
172,18,831,5.0
173,18,653,50.0
174,19,522,200.0
175,19,739,300.0
176,19,578,100.0
177,19,399,100.0
178,19,633,100.0
179,19,315,120.0
180,19,525,10.0
181,19,69,10.0
182,19,580,0.0
183,20,52,150.0
184,20,503,160.0
185,20,4,200.0
186,20,178,10.0
187,20,486,10.0
188,20,831,5.0
189,20,328,30.0
190,20,449,34.0
191,20,656,0.0
192,20,829,0.0
193,20,486,0.0
194,21,427,400.0
195,21,165,200.0
196,21,626,200.0
197,21,758,60.0
198,21,673,0.0
199,21,656,2.0
200,21,829,0.0
201,21,527,34.0
202,21,583,0.0
203,22,785,400.0
204,22,55,400.0
205,22,52,300.0
206,22,414,90.0
207,22,678,45.0
208,22,533,80.0
209,22,831,20.0
210,22,338,120.0
211,22,649,45.0
212,22,527,34.0
213,22,656,0.0
214,22,829,0.0
215,22,673,0.0
216,22,583,0.0
217,23,444,100.0
218,23,692,200.0
219,23,388,180.0
220,23,4,200.0
221,23,772,200.0
222,23,505,250.0
223,23,328,60.0
224,23,449,51.0
225,23,82,18.0
226,23,656,0.0
227,23,829,0.0
228,24,23,210.0
229,24,745,140.0
230,24,132,45.0
231,24,776,10.0
232,24,831,5.0
233,24,527,34.0
234,24,656,10.0
235,24,829,1.0
236,25,212,400.0
237,25,839,200.0
238,25,533,80.0
239,25,527,100.0
240,25,486,10.0
241,25,776,10.0
242,25,831,5.0
243,25,656,0.0
244,26,533,40.0
245,26,448,30.0
246,26,315,120.0
247,26,656,1.0
248,26,829,1.0
249,26,633,5.0
250,26,730,50.0
251,26,505,0.0
252,26,776,0.0
253,26,448,0.0
254,27,771,200.0
255,27,736,18.0
256,27,355,25.0
257,27,315,60.0
258,27,444,60.0
259,27,178,20.0
260,27,776,20.0
261,27,583,0.0
262,28,19,80.0
263,28,250,250.0
264,28,315,120.0
265,28,502,200.0
266,28,831,15.0
267,28,355,50.0
268,28,583,0.0
269,28,776,0.0
270,29,134,165.0
271,29,314,300.0
272,29,414,90.0
273,29,533,80.0
274,29,527,51.0
275,29,656,0.0
276,29,829,0.0
277,29,92,300.0
278,29,505,0.0
279,29,776,0.0
280,30,314,200.0
281,30,527,34.0
282,30,649,15.0
283,30,275,7.0
284,30,578,12.5
285,30,831,5.0
