ID,Name,Breakfast,Cooking time in minutes,Cooking time,Serving type,Servings,Calories,Protein,Fat,Carbs,Difficulty,Spicy,Ingredients,Types,Weights,URL,Picture URL
126,"Боул из булгура, говяжьего бекона, яйца и овощей",0,30,30 минут,Порция,1,221.39,9.83,13.63,12.85,1,0,[ 37 390 510 268 296  34  20 285 271],"['г', 'г', 'г', 'г', 'г', 'г', 'г', 'г', 'г']","[80.0, 2.0, 60.0, 50.0, 50.0, 75.0, 100.0, 10.0, 5.0]",https://food.ru/recipes/190132,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkzMC80QXR2UWIuanBlZw.jpg
127,Фарш с грибами на сковороде,0,50,50 минут,Порции,2,155.39,12.66,10.3,2.76,2,2,[464 346 494 315 390 399 314 263],"['г', 'г', 'г', 'г', 'по вкусу', 'по вкусу', 'по вкусу', 'по вкусу']","[125.0, 125.0, 150.0, 80.0, 0, 0, 0, 0]",https://food.ru/recipes/190133,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkzMC8zTmQyN1AuanBlZw.jpg
128,"Салат с творогом, овощами и зеленым луком",0,20,20 минут,Порция,1,106.54,6.34,7.94,2.6,1,0,[437 294 105 291 390 399],"['г', 'г', 'г', 'г', 'по вкусу', 'по вкусу']","[150.0, 240.0, 10.0, 34.0, 0, 0]",https://food.ru/recipes/190134,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkzMC9GcjhkTUMuanBlZw.jpg
129,Бархатный соус из томатной пасты,0,20,20 минут,Порции,2,256.35,2.57,23.43,9.84,1,1,[446 379 291 315 488 390 399],"['г', 'г', 'г', 'г', 'г', 'по вкусу', 'по вкусу']","[60.0, 50.0, 34.0, 40.0, 5.0, 0, 0]",https://food.ru/recipes/190135,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkzMC8zNE5mdHIuanBlZw.jpg
130,Винегрет с жареным луком и солеными корнишонами,0,15,15 минут,Порция,1,63.15,1.64,1.53,10.74,1,0,[132 315 314 290 387 390 285  47  46],"['г', 'г', 'г', 'г', 'г', 'г', 'г', 'г', 'г']","[120.0, 40.0, 2.5, 2.5, 12.0, 1.0, 10.0, 120.0, 65.0]",https://food.ru/recipes/190136,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkzMC9qa3paRTMuanBlZw.jpg
131,Голень индейки на сковороде,0,50,50 минут,Порции,3,107.25,8.97,5.03,4.85,2,1,[ 70 343   8 385 239 445 250 473 486 390 314],"['г', 'г', 'г', 'г', 'г', 'г', 'г', 'г', 'по вкусу', 'по вкусу', 'по вкусу']","[500.0, 300.0, 62.5, 15.0, 28.0, 2.0, 2.0, 2.0, 0, 0, 0]",https://food.ru/recipes/190138,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkzMC8zRDNjcTcuanBlZw.jpg
132,Кислая капуста,0,180,3 дня 1 час,Порции,4,16.91,1.05,0.06,3.0,2,0,[ 25 252 390  62 191],"['г', 'г', 'г', 'г', 'по вкусу']","[700.0, 100.0, 25.0, 500.0, 0]",https://food.ru/recipes/190139,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkzMC9wM2dVOXAuanBlZw.jpg
133,Домашний компот из замороженной вишни,0,40,40 минут,Порции,3,22.32,0.13,0.08,5.64,1,0,[ 92 337  62],"['г', 'г', 'г']","[400.0, 100.0, 2000.0]",https://food.ru/recipes/190140,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMTAxMC8zcGhWOXQuanBlZw.jpg
134,Свиная поджарка,0,40,40 минут,Порции,4,212.98,10.81,17.85,2.39,2,1,[347 488 314 448 315 390 486 263],"['г', 'г', 'г', 'г', 'г', 'по вкусу', 'по вкусу', 'по желанию']","[500.0, 15.0, 30.0, 150.0, 80.0, 0, 0, 0]",https://food.ru/recipes/190141,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkzMC8zeUJIeXUuanBlZw.jpg
135,Котлеты из тыквы,0,40,40 минут,Порции,4,136.52,4.23,7.56,17.79,2,1,[455 199 315 272 314 308 488 390 486 335],"['г', 'г', 'г', 'г', 'г', 'г', 'г', 'по вкусу', 'по вкусу', 'по вкусу']","[500.0, 120.0, 80.0, 100.0, 51.0, 50.0, 10.0, 0, 0, 0]",https://food.ru/recipes/190144,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkzMC94Z3ZFdGQuanBlZw.jpg
136,Домашние картофельные чипсы с соусом,0,30,30 минут,Порции,2,77.34,2.29,0.41,16.53,1,0,[132 390 273 446 488],"['г', 'по вкусу', 'по вкусу', 'г', 'г']","[480.0, 0, 0, 60.0, 5.0]",https://food.ru/recipes/190145,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkzMC92Sk1GS04uanBlZw.jpg
137,Домашний соус барбекю,0,60,1 час ,Порции,4,93.4,1.38,5.32,12.08,2,3,[294 180 446 314  16 337 280 488 390],"['г', 'г', 'г', 'г', 'г', 'г', 'г', 'г', 'по вкусу']","[400.0, 75.0, 60.0, 34.0, 30.0, 37.5, 15.0, 10.0, 0]",https://food.ru/recipes/190146,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkzMC9rRWlGeW8uanBlZw.jpg
138,Безалкогольный глинтвейн «Осенний шарм»,0,15,15 минут,Порция,1,47.15,0.57,0.44,11.19,1,0,[505 165 224 185 496 249 246],"['г', 'г', 'г', 'г', 'г', 'по вкусу', 'по вкусу']","[250.0, 6.0, 30.0, 9.0, 15.0, 0, 0]",https://food.ru/recipes/190147,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkzMC8zMmVlam4uanBlZw.jpg
139,"Салат из запеченных баклажанов, томатов и зелени",0,50,50 минут,Порции,3,106.24,1.16,8.97,4.24,1,0,[ 14 294 488 340 390 314],"['г', 'г', 'г', 'г', 'г', 'г']","[300.0, 200.0, 10.0, 15.0, 2.0, 51.0]",https://food.ru/recipes/190148,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkzMC8zdmRWRTcuanBlZw.jpg
140,Французские саварены,1,170,2 часа 50 минут,Порций,6,253.84,3.37,10.63,30.03,3,0,[308 199 244 372 337 414 390  62 337  30 369 338 224],"['г', 'г', 'г', 'г', 'г', 'г', 'г', 'г', 'г', 'г', 'г', 'г', 'по желанию']","[200.0, 120.0, 70.0, 70.0, 50.0, 4.0, 1.0, 400.0, 180.0, 18.0, 200.0, 25.0, 0]",https://food.ru/recipes/190149,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkyOC9UWmhmRHcuanBlZw.jpg
141,Салат «Сытное пламя»,0,30,30 минут,Порция,1,164.44,10.11,13.66,4.72,1,0,[332  34 168 430 427 292],"['по желанию', 'г', 'г', 'г', 'г', 'по вкусу']","[0, 150.0, 100.0, 25.0, 40.0, 0]",https://food.ru/recipes/190150,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkzMC9GVVhpRm8uanBlZw.jpg
142,Морковные маффины с цедрой апельсина,1,10,10 минут,Порций,12,358.12,2.24,23.3,36.65,1,0,[337 476 311 247 372 252 390 327],"['г', 'г', 'г', 'г', 'г', 'г', 'г', 'г']","[100.0, 2.0, 5.0, 4.0, 180.0, 200.0, 1.0, 150.0]",https://food.ru/recipes/190151,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkzMC91VFFuaWouanBlZw.jpg
143,Отличный салат с тунцом и зеленым горошком,0,30,30 минут,Порций,8,78.1,6.96,3.67,3.59,1,0,[510 454 268 157  34 285 379 390],"['г', 'г', 'г', 'г', 'г', 'г', 'г', 'г']","[240.0, 200.0, 300.0, 350.0, 150.0, 20.0, 100.0, 2.0]",https://food.ru/recipes/190152,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkzMC8zTXlINWIuanBlZw.jpg
144,Печенье из зернистого творога,0,50,50 минут,Порции,2,279.36,9.13,10.31,37.58,1,0,[109 199 379 337 390 308 311 291],"['г', 'г', 'г', 'г', 'г', 'г', 'г', 'г']","[150.0, 60.0, 50.0, 50.0, 1.0, 250.0, 2.5, 34.0]",https://food.ru/recipes/190153,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkzMC8zQ3V1aXouanBlZw.jpg
145,Домашний пирог с персиками и сметанным кремом,0,90,1 час 30 минут,Порции,3,138.18,4.11,7.48,13.63,1,0,[137 383 510 239 379 282],"['г', 'г', 'г', 'г', 'г', 'г']","[200.0, 5.0, 180.0, 100.0, 200.0, 200.0]",https://food.ru/recipes/190154,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkzMC80UkhxWmUuanBlZw.jpg
146,"Кускус со слабосоленой форелью, перцем чили и виноградом",0,10,10 минут,Порция,1,145.86,6.31,4.44,18.02,1,1,[204  62 390 360  58 280 372 285],"['г', 'г', 'г', 'г', 'г', 'г', 'г', 'г']","[70.0, 140.0, 1.0, 50.0, 30.0, 10.0, 10.0, 3.0]",https://food.ru/recipes/190155,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkzMC80UkJpQUwuanBlZw.jpg
147,Тост с отварными креветками и творожным сыром на завтрак,0,15,15 минут,Порция,1,199.33,12.04,5.27,24.02,1,0,[183 452 438],"['г', 'г', 'г']","[40.0, 40.0, 10.0]",https://food.ru/recipes/190156,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkzMC8zTTloM0ouanBlZw.jpg
148,Пирог с яблоками и тыквой,0,70,1 час 10 минут,Порций,8,176.62,2.4,7.6,28.56,2,0,[308 372 337 379  88  42 311 455 502 337 372 249 247 257  24],"['г', 'г', 'г', 'г', 'г', 'г', 'г', 'г', 'г', 'г', 'г', 'г', 'г', 'г', 'г']","[195.0, 100.0, 90.0, 25.0, 17.0, 2.5, 5.0, 400.0, 500.0, 125.0, 20.0, 3.0, 4.0, 2.0, 33.0]",https://food.ru/recipes/190157,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkzMC8zeUd6dE4uanBlZw.jpg
149,Овощная подлива с томатной пастой и сладким перцем,0,40,40 минут,Порции,3,74.33,1.75,3.5,9.3,1,0,[446 488 252 363 294 315 308 314 390  62],"['г', 'г', 'г', 'г', 'г', 'г', 'г', 'г', 'г', 'г']","[30.0, 5.0, 90.0, 50.0, 160.0, 80.0, 25.0, 17.0, 5.0, 50.0]",https://food.ru/recipes/190159,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkzMC80NHNCY0ouanBlZw.jpg
150,Канапе «Грибная остановка»,0,15,15 минут,Порция,1,52.51,2.27,0.61,9.48,1,0,[494 294 493 395 333],"['г', 'г', 'г', 'г', 'по вкусу']","[32.0, 80.0, 15.0, 10.0, 0]",https://food.ru/recipes/190160,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkzMC8zS3g0U1cuanBlZw.jpg
151,Простой салат из дайкона,0,10,10 минут,Порции,2,36.96,1.21,0.01,8.22,1,2,[ 80 408 337 105 488 390 328 134  27],"['г', 'г', 'г', 'г', 'г', 'по вкусу', 'по вкусу', 'по желанию', 'по желанию']","[460.0, 22.5, 20.0, 10.0, 10.0, 0, 0, 0, 0]",https://food.ru/recipes/190161,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDI0MDIwMi8zSm1obzcuanBlZw.jpg
152,Наивкуснейший слоеный салат «Креветка»,0,30,30 минут,Порции,2,100.92,7.81,6.36,6.39,1,0,[132 510 294 268 427 183 269],"['г', 'г', 'г', 'г', 'г', 'г', 'г']","[120.0, 120.0, 80.0, 100.0, 50.0, 40.0, 20.0]",https://food.ru/recipes/190162,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkzMC80VHRvcHguanBlZw.jpg
153,Мини-чебуреки с квашеной капустой и петрушкой,0,30,30 минут,Порция,1,255.5,6.29,8.08,38.7,1,0,[133 285 308  62 390 291],"['г', 'г', 'г', 'г', 'по вкусу', 'г']","[50.0, 20.0, 260.0, 100.0, 0, 34.0]",https://food.ru/recipes/190163,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkzMC8zMjlBR2kuanBlZw.jpg
154,Безглютеновые блинчики с брусничным вареньем,1,60,1 час ,Порция,1,148.51,5.56,8.36,13.34,1,0,[244 190 510 390 337 314],"['г', 'г', 'г', 'г', 'г', 'г']","[500.0, 90.0, 300.0, 5.0, 25.0, 34.0]",https://food.ru/recipes/190164,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMTAxNS8zR0c0U1ouanBlZw.jpg
155,Пирожки «Лукошко из детства»,0,40,40 минут,Порции,4,152.1,4.73,3.67,24.63,1,0,[132 372  28 494 308 510 414 340],"['г', 'г', 'г', 'г', 'г', 'г', 'г', 'по вкусу']","[600.0, 40.0, 80.0, 192.0, 300.0, 60.0, 4.0, 0]",https://food.ru/recipes/190165,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkzMC9RQTRwUTguanBlZw.jpg
156,Тушеные томаты,0,20,20 минут,Порции,2,34.42,1.35,1.01,5.24,2,1,[180 488 372 446 285 119 486 390 294  11],"['г', 'г', 'г', 'г', 'г', 'г', 'г', 'г', 'г', 'по вкусу']","[75.0, 5.0, 5.0, 10.0, 10.0, 1.0, 1.5, 2.0, 400.0, 0]",https://food.ru/recipes/190166,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkzMC80VDQ1Y1cuanBlZw.jpg
157,Манты с помидором и сыром,0,40,40 минут,Порция,1,164.37,4.93,8.31,17.86,1,0,[294 151 442 221 390],"['г', 'г', 'г', 'г', 'по вкусу']","[160.0, 30.0, 100.0, 25.0, 0]",https://food.ru/recipes/190167,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkzMC80NGdtaFYuanBlZw.jpg
158,Капуста в микроволновке,0,25,25 минут,Порции,2,74.45,1.51,5.35,5.21,1,1,[ 25 315 291 446  62 205 390 317],"['г', 'г', 'г', 'г', 'г', 'г', 'г', 'по желанию']","[400.0, 80.0, 34.0, 30.0, 100.0, 2.0, 2.0, 0]",https://food.ru/recipes/190168,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkzMC8zUFNCREcuanBlZw.jpg
159,Салат «Мимоза» с рисом и свежей зеленью,0,40,40 минут,Порций,6,284.16,10.92,18.81,18.28,1,1,[322 221 329 390 486 315 340 510],"['г', 'г', 'г', 'по вкусу', 'по желанию', 'г', 'по желанию', 'г']","[200.0, 250.0, 250.0, 0, 0, 160.0, 0, 180.0]",https://food.ru/recipes/190169,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkzMC9LdXpjSkguanBlZw.jpg
160,Фаршированные грибы с гарниром и лечо,0,40,40 минут,Порции,4,131.67,10.18,10.51,5.17,1,0,[ 77 427 460 390 211],"['г', 'г', 'г', 'по вкусу', 'г']","[500.0, 150.0, 300.0, 0, 100.0]",https://food.ru/recipes/190170,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMTAxNS85U1RHRHkuanBlZw.jpg
161,Салат «Анжелика» с отрубями,0,10,10 минут,Порция,1,78.93,4.25,5.15,3.81,1,0,[294 151 318 335 291 390],"['г', 'г', 'г', 'г', 'г', 'по вкусу']","[80.0, 30.0, 10.0, 100.0, 5.0, 0]",https://food.ru/recipes/190171,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkzMC8zZXNQZlIuanBlZw.jpg
162,Блинчики с творогом на молоке и закваске,1,40,40 минут,Порций,5,200.26,7.09,6.41,29.15,1,0,[510 243 337 434 308 314 305],"['г', 'г', 'г', 'г', 'г', 'г', 'г']","[120.0, 500.0, 150.0, 200.0, 300.0, 51.0, 100.0]",https://food.ru/recipes/190172,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkzMC80QWJjc2guanBlZw.jpg
163,Грибной суп с мясными клецками,0,40,40 минут,Порций,6,158.74,6.04,9.84,11.51,1,0,[258 199 228 494 252 322 132 458],"['г', 'г', 'г', 'г', 'г', 'г', 'г', 'г']","[200.0, 60.0, 16.0, 100.0, 90.0, 25.0, 240.0, 15.0]",https://food.ru/recipes/190173,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkzMC8zbThuZDMuanBlZw.jpg
164,Паста с креветками без сливок,0,35,35 минут,Порция,1,217.66,10.98,1.37,39.49,1,0,[183 398 243 488 390],"['г', 'г', 'г', 'г', 'по вкусу']","[50.0, 100.0, 35.0, 5.0, 0]",https://food.ru/recipes/190174,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkzMC8zWGU4WHIuanBlZw.jpg
165,Салат «Гвардейский» с колбасой,0,20,20 минут,Порция,1,144.51,6.5,12.19,2.59,1,1,[294 199 150 285 299 390 486],"['г', 'г', 'г', 'г', 'г', 'по вкусу', 'по вкусу']","[80.0, 60.0, 50.0, 20.0, 25.0, 0, 0]",https://food.ru/recipes/190176,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkzMC80NGF0S0QuanBlZw.jpg
166,Чечевичный суп из смеси со свежей зеленью,0,60,1 час ,Порции,4,37.27,3.64,0.2,4.58,1,0,[175 198  62 340 390 399 132],"['г', 'г', 'г', 'по желанию', 'по вкусу', 'по вкусу', 'г']","[200.0, 200.0, 2000.0, 0, 0, 0, 120.0]",https://food.ru/recipes/190177,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkzMC80N3NCNjYuanBlZw.jpg
167,Пирог из ряженки,0,75,1 час 15 минут,Порции,4,175.74,4.89,2.65,33.84,2,0,[308 337 331 502 199 311 165 338],"['г', 'г', 'г', 'г', 'г', 'г', 'г', 'г']","[150.0, 90.0, 70.0, 250.0, 120.0, 2.5, 2.0, 16.0]",https://food.ru/recipes/190178,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkzMC8zc3ZadzIuanBlZw.jpg
168,Тыквенные оладьи «С добрым утром»,1,59,59 минут,Порций,6,131.23,4.58,6.03,15.55,1,0,[455 510 243 308 311 390 314],"['г', 'г', 'г', 'г', 'г', 'г', 'г']","[200.0, 60.0, 100.0, 75.0, 5.0, 1.0, 17.0]",https://food.ru/recipes/190179,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMTAxMC9aZFk5SlYuanBlZw.jpg
169,Кускус с сыром и виноградом под малиновым сиропом,0,15,15 минут,Порция,1,300.02,12.79,6.21,44.12,1,1,[204 433  58 280 225],"['г', 'г', 'г', 'г', 'г']","[50.0, 20.0, 15.0, 2.0, 5.0]",https://food.ru/recipes/190180,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkzMC8zUXhiTHYuanBlZw.jpg
170,"Вкусные конвертики с вареной колбасой, сыром и зеленью",0,20,20 минут,Порции,3,271.61,10.45,8.17,38.33,1,1,[428 340  45  11 379 486 488 390],"['г', 'по вкусу', 'г', 'г', 'г', 'по желанию', 'г', 'по вкусу']","[50.0, 0, 50.0, 300.0, 50.0, 0, 15.0, 0]",https://food.ru/recipes/190181,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkzMC9vdVo1VVguanBlZw.jpg
171,"Жаренка с квашеной капустой, стрелками чеснока, лавашом и сыром",0,15,15 минут,Порция,1,188.05,6.16,9.27,20.22,1,0,[133  11 489 151 291 390],"['г', 'г', 'г', 'г', 'г', 'по вкусу']","[100.0, 80.0, 30.0, 30.0, 17.0, 0]",https://food.ru/recipes/190182,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkzMC82SFRvYm8uanBlZw.jpg
172,Манты из говядины и тыквы,0,65,1 час 5 минут,Порций,6,189.92,10.07,8.54,18.42,2,1,[308  62 199 390  67 455 315 486 390 449],"['г', 'г', 'г', 'г', 'г', 'г', 'г', 'г', 'г', 'по вкусу']","[260.0, 100.0, 60.0, 1.5, 400.0, 200.0, 40.0, 1.25, 2.5, 0]",https://food.ru/recipes/190184,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkzMC8zNTR3RFguanBlZw.jpg
173,Блинный торт «Тирамису» с вишней,0,120,2 часа ,Порций,8,211.19,5.45,10.95,22.7,1,0,[510 308 314 379 337 243 124 338 169  61],"['г', 'г', 'г', 'г', 'г', 'г', 'г', 'г', 'г', 'г']","[240.0, 400.0, 70.0, 500.0, 25.0, 550.0, 25.0, 100.0, 4.0, 100.0]",https://food.ru/recipes/190185,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDIyNC8zN1Z4dUQuanBlZw.jpg
174,Легкий вариант салата «Цезарь»,0,60,1 час ,Порций,6,102.43,7.32,8.11,2.43,1,1,[278 197 296 427 199 238 271  72 214  16 254 486 319],"['г', 'г', 'г', 'г', 'г', 'г', 'г', 'г', 'г', 'г', 'по вкусу', 'по вкусу', 'по вкусу']","[900.0, 340.0, 200.0, 100.0, 60.0, 30.0, 20.0, 2.0, 7.5, 3.0, 0, 0, 0]",https://food.ru/recipes/190187,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkzMC9FZW1kc04uanBlZw.jpg
175,Пирог «Ягодный взрыв»,0,50,50 минут,Порции,3,149.17,4.38,2.69,27.3,1,0,[243 510 311 308 337  99 503],"['г', 'г', 'г', 'г', 'г', 'г', 'г']","[200.0, 180.0, 10.0, 130.0, 150.0, 180.0, 180.0]",https://food.ru/recipes/190188,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMTAxMC9IN1I0ckUuanBlZw.jpg
176,Жареная курица с майонезом,0,55,55 минут,Порции,2,219.24,14.6,17.36,1.46,2,2,[201 221 488  72 302 390 486 291 322 340],"['г', 'г', 'г', 'г', 'г', 'г', 'г', 'г', 'по желанию', 'по вкусу']","[500.0, 50.0, 10.0, 8.0, 2.0, 2.5, 2.5, 17.0, 0, 0]",https://food.ru/recipes/190189,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkzMC80UVZFNzUuanBlZw.jpg
177,Немецкий осенний суп «Айнтопф»,0,150,2 часа 30 минут,Порций,8,116.95,9.59,3.56,11.71,1,0,[341  34 252 494 200 174 132],"['г', 'г', 'г', 'г', 'г', 'г', 'г']","[400.0, 150.0, 180.0, 200.0, 200.0, 200.0, 480.0]",https://food.ru/recipes/190190,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkzMC9ZTTZRelIuanBlZw.jpg
178,Лимон с сахаром,0,60,1 день 2 часа,Порция,1,197.61,2.24,3.4,40.11,2,0,[212 337  32 106],"['г', 'г', 'г', 'по вкусу']","[300.0, 160.0, 160.0, 0]",https://food.ru/recipes/190191,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkzMC90cFpncmQuanBlZw.jpg
179,Азу из индейки,0,105,1 час 45 минут,Порции,4,107.92,4.55,7.81,4.81,2,2,[465 132  62 252 315 388 372 446 314 488 285 337 390 486],"['г', 'г', 'г', 'г', 'г', 'г', 'г', 'г', 'г', 'г', 'г', 'г', 'по вкусу', 'по вкусу']","[500.0, 240.0, 500.0, 90.0, 80.0, 140.0, 25.0, 90.0, 34.0, 25.0, 10.0, 5.0, 0, 0]",https://food.ru/recipes/190192,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkzMC8zWnlid1IuanBlZw.jpg
180,Творожно-тыквенная запеканка в духовке,1,100,1 час 40 минут,Порции,4,189.72,6.67,8.33,21.76,3,0,[436 337 199 222  44 131 291 455 337 199 131 227 381 441],"['г', 'г', 'г', 'г', 'г', 'г', 'г', 'г', 'г', 'г', 'г', 'г', 'г', 'г']","[180.0, 50.0, 60.0, 15.0, 8.0, 9.0, 5.0, 200.0, 75.0, 120.0, 9.0, 100.0, 50.0, 50.0]",https://food.ru/recipes/190193,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkzMC8zNVV6Q1MuanBlZw.jpg
181,Картошка по-деревенски,0,45,45 минут,Порции,2,174.28,1.97,9.58,21.0,2,1,[132 182 420 273 486 390 314],"['г', 'г', 'г', 'г', 'по вкусу', 'по вкусу', 'г']","[600.0, 70.0, 2.0, 1.5, 0, 0, 68.0]",https://food.ru/recipes/190194,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkzMC9hc3dGamUuanBlZw.jpg
