ID,Name,Breakfast,Cooking time in minutes,Cooking time,Serving type,Servings,Calories,Protein,Fat,Carbs,Difficulty,Spicy,Ingredients,Types,Weights,URL,Picture URL
98,Курица с картофелем и стручковой фасолью в духовке,0,100,1 час 40 минут,Порции,4,109.55,10.15,4.82,6.03,1,1,[132 409 197 157 302 473 486 390  62],"['г', 'г', 'г', 'г', 'г', 'г', 'г', 'г', 'г']","[480.0, 150.0, 680.0, 200.0, 2.0, 1.0, 1.0, 10.0, 100.0]",https://food.ru/recipes/190104,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkzMC80NVllV28uanBlZw.jpg
99,Домашние чебуреки с мясом индейки,0,90,1 час 30 минут,Порций,6,299.09,9.21,19.9,20.87,1,1,[137 308 390 461 315 486 488 314 383],"['г', 'г', 'г', 'г', 'г', 'по желанию', 'г', 'г', 'г']","[300.0, 500.0, 10.0, 500.0, 160.0, 0, 15.0, 300.0, 5.0]",https://food.ru/recipes/190105,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMTAxMy80TVVhamQuanBlZw.jpg
100,Постный соус из нежной томатной пасты,0,15,15 минут,Порции,4,81.73,1.31,6.06,6.35,1,1,[315 314 446  62 390 486 425],"['г', 'г', 'г', 'г', 'г', 'г', 'г']","[50.0, 20.0, 50.0, 200.0, 6.0, 6.0, 6.0]",https://food.ru/recipes/190106,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkzMC8zclc4d1guanBlZw.jpg
101,Румяная запеканка с консервированной кукурузой,0,40,40 минут,Порции,4,157.5,6.6,8.3,13.5,1,0,[199 159 390 379 308 243 154 314 383],"['г', 'г', 'г', 'г', 'г', 'г', 'г', 'г', 'г']","[120.0, 7.0, 5.0, 50.0, 50.0, 15.0, 150.0, 7.0, 1.0]",https://food.ru/recipes/190107,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkzMC8zR3FmUnIuanBlZw.jpg
102,"Макароны с беконом, сыром и сливками на ужин",0,60,1 час ,Порция,1,316.36,11.0,16.87,29.38,1,0,[223  20 364 433 488 340],"['г', 'г', 'г', 'г', 'по желанию', 'по вкусу']","[200.0, 75.0, 180.0, 50.0, 0, 0]",https://food.ru/recipes/190108,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkzMC8zdlBUcWUuanBlZw.jpg
103,Томатные чипсы с укропом и семенами тыквы,0,735,12 часов 15 минут,Порции,3,40.74,2.11,2.38,2.49,1,0,[371 424 457 390],"['г', 'г', 'г', 'по вкусу']","[400.0, 10.0, 20.0, 0]",https://food.ru/recipes/190109,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkzMC80VlZvQjkuanBlZw.jpg
104,Запеканка из цветной капусты и куриного филе,0,80,1 час 20 минут,Порций,5,98.46,11.16,4.49,3.31,1,0,[ 97 315 252 198 390 399 433 199 340 449],"['г', 'г', 'г', 'г', 'г', 'по вкусу', 'г', 'г', 'по желанию', 'по желанию']","[400.0, 80.0, 90.0, 300.0, 1.0, 0, 100.0, 180.0, 0, 0]",https://food.ru/recipes/190110,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkzMC8zUldwbkguanBlZw.jpg
105,Яблочные чипсы с кедровыми орешками,0,735,12 часов 15 минут,Порции,3,61.24,0.66,1.71,10.36,1,0,[502 239 134],"['г', 'г', 'г']","[1000.0, 7.0, 20.0]",https://food.ru/recipes/190111,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkzMC8zSmUzN0YuanBlZw.jpg
106,Два вида капусты с другими овощами на сковороде,0,100,1 час 40 минут,Порция,1,27.02,1.12,0.14,5.22,1,0,[126 133 252 121 294 315],"['г', 'г', 'г', 'г', 'г', 'г']","[400.0, 150.0, 90.0, 180.0, 80.0, 80.0]",https://food.ru/recipes/190112,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkzMC8zY2ltMkIuanBlZw.jpg
107,Божественные блинчики на молоке с ванилином,1,30,30 минут,Порции,4,184.4,5.45,7.36,23.66,1,0,[308 243 372 510 390 337 311  42],"['г', 'г', 'г', 'г', 'г', 'г', 'г', 'г']","[240.0, 480.0, 55.0, 120.0, 10.0, 50.0, 40.0, 5.0]",https://food.ru/recipes/190113,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkzMC80RWlnNUYuanBlZw.jpg
108,"Трубочки из лаваша с начинкой из колбасы, яиц и сыра",0,40,40 минут,Порции,4,222.22,13.96,10.84,16.79,1,0,[ 11 510  45 436 449 379 399 433],"['г', 'г', 'г', 'г', 'по желанию', 'по желанию', 'по желанию', 'г']","[320.0, 180.0, 200.0, 400.0, 0, 0, 0, 100.0]",https://food.ru/recipes/190114,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkzMC80N3pma1IuanBlZw.jpg
109,Манник «Стаканник» с клюквой,0,50,50 минут,Порции,3,237.61,6.33,3.29,47.03,1,0,[510 228 327 337 137],"['г', 'г', 'г', 'г', 'г']","[180.0, 150.0, 150.0, 180.0, 206.0]",https://food.ru/recipes/190115,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkzMC8zTXd1RGcuanBlZw.jpg
110,Курица «Огурцы в тулупе» на ужин,0,70,1 час 10 минут,Порция,1,204.97,20.07,13.62,0.46,1,0,[259 388 433 221],"['г', 'г', 'г', 'г']","[600.0, 30.0, 50.0, 25.0]",https://food.ru/recipes/190116,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkzMC9TNFVhN0ouanBlZw.jpg
111,Киш с полентой и грибами «Солнечный»,0,70,1 час 10 минут,Порций,6,185.86,7.22,9.66,17.08,1,1,[167 188 308 429 433 381 365 315 199 291  62 311 390 486 425 362],"['г', 'г', 'г', 'г', 'г', 'г', 'г', 'г', 'г', 'г', 'г', 'г', 'по вкусу', 'по вкусу', 'по вкусу', 'по вкусу']","[300.0, 100.0, 200.0, 100.0, 50.0, 100.0, 200.0, 80.0, 120.0, 40.0, 100.0, 5.0, 0, 0, 0, 0]",https://food.ru/recipes/190117,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkzMC8zY211b0cuanBlZw.jpg
112,Блины на ряженке к чаю,1,30,30 минут,Порции,2,228.34,7.17,5.78,36.32,1,0,[331 199 337 390 308 291],"['г', 'г', 'г', 'г', 'г', 'г']","[206.0, 60.0, 25.0, 1.0, 250.0, 17.0]",https://food.ru/recipes/190118,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkzMC8zdEQ2VjYuanBlZw.jpg
113,Суп из чечевицы на бульоне из говяжьих ребрышек,0,120,2 часа ,Порций,8,201.72,12.57,11.81,10.43,1,0,[175  68 132 252 315 205 390 291],"['г', 'г', 'г', 'г', 'г', 'г', 'г', 'г']","[200.0, 800.0, 240.0, 90.0, 80.0, 2.0, 10.0, 17.0]",https://food.ru/recipes/190119,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkzMC8zQ1JScHUuanBlZw.jpg
114,Суп по-итальянски с куриным бедром на обед,0,50,50 минут,Порций,6,249.81,15.26,7.3,30.8,1,0,[197 390 413],"['г', 'по вкусу', 'г']","[340.0, 0, 200.0]",https://food.ru/recipes/190120,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkzMC9lVGhuZ2ouanBlZw.jpg
