ID,Recipe ID,Ingredient ID,Weight
1,1,706,50.0
2,1,113,35.0
3,1,536,100.0
4,1,442,20.0
5,1,698,2.5
6,1,437,8.5
7,1,653,2.5
8,1,403,2.5
9,1,547,0.0
10,1,696,0.0
11,1,487,15.0
12,2,622,125.0
13,2,263,30.0
14,2,431,37.5
15,2,641,7.5
16,2,482,10.0
17,2,547,0.0
18,2,536,0.0
19,2,63,0.0
20,3,260,170.0
21,3,263,90.0
22,3,527,25.0
23,3,40,50.0
24,3,329,50.0
25,3,437,17.0
26,3,547,0.0
27,3,696,0.0
28,3,378,0.0
29,3,420,0.0
30,4,524,50.0
31,4,9,62.5
32,4,21,75.0
33,4,719,125.0
34,4,73,50.0
35,4,484,12.5
36,4,113,12.5
37,5,501,100.0
38,5,2,100.0
39,5,621,40.0
40,5,698,2.5
41,5,541,15.0
42,5,437,8.5
43,5,547,0.0
44,5,696,0.0
45,5,420,0.0
46,5,487,0.0
47,6,657,125.0
48,6,172,240.0
49,6,442,40.0
50,6,342,45.0
51,6,263,30.0
52,6,698,2.5
53,6,274,1.0
54,6,547,0.0
55,6,696,0.0
56,6,437,17.0
57,6,80,1000.0
58,6,403,0.0
59,7,418,40.0
60,7,417,50.0
61,7,698,5.0
62,7,703,0.0
63,7,541,4.0
64,7,297,12.5
65,7,263,30.0
66,7,547,0.0
67,7,696,0.0
68,7,403,0.0
69,8,43,150.0
70,8,50,25.0
71,8,261,125.0
72,8,706,112.0
73,8,621,50.0
74,8,534,37.5
75,8,145,5.0
76,8,653,5.0
77,8,527,12.5
78,8,437,8.5
79,8,381,0.0
80,8,696,0.0
81,8,547,0.0
82,8,321,0.0
83,9,217,45.0
84,9,313,45.0
85,9,528,90.0
86,9,403,17.5
87,9,124,0.0
88,9,487,0.0
89,9,313,0.0
90,10,352,200.0
91,10,640,75.0
92,10,527,30.0
93,10,431,31.25
94,10,370,17.0
95,10,329,375.0
96,10,290,25.0
97,10,621,250.0
98,10,698,5.0
99,10,547,0.0
100,10,696,0.0
101,10,482,6.25
102,10,17,0.0
103,11,115,160.0
104,11,80,240.0
105,11,442,40.0
106,11,342,45.0
107,11,706,150.0
108,11,437,17.0
109,11,527,10.0
110,11,547,0.0
111,11,696,0.0
112,11,487,0.0
113,12,580,50.0
114,12,369,30.0
115,12,706,50.0
116,12,442,20.0
117,12,608,50.0
118,12,698,2.5
119,12,520,50.0
120,12,437,17.0
121,12,547,0.0
122,12,696,0.0
123,13,172,500.0
124,13,437,34.0
125,13,547,0.0
126,13,130,0.0
127,13,605,0.0
128,13,518,0.0
129,13,423,0.0
130,13,297,37.5
131,13,653,5.0
132,13,698,7.5
133,14,257,125.0
134,14,706,50.0
135,14,608,50.0
136,14,698,2.5
137,14,520,75.0
138,14,437,17.0
139,14,547,0.0
140,14,696,0.0
141,15,719,250.0
142,15,253,50.0
143,15,113,50.0
144,15,317,15.0
145,16,643,40.0
146,16,2,50.0
